"Progress of species at risk towards their population and distribution objectives, Canada, May 2024",,,,,,,,,,
,,,,,,,,,,
Common name,Scientific name,Species group,Species at Risk Act status,Final recovery document date,Reassessment date,Progress report date,Recovery document objectives ,Species data,Rationale,Progress of species at risk towards their population and distribution objectives
Northern bobwhite,Colinus virginianus,Bird,Endangered,12/13/2018,5/1/2023,,"Short term (5 - 10 years): Maintain the existing population on Walpole Island First Nation and where biologically and technically feasible increase the abundance of the existing population to at least 230 adult birds. Medium term (10 - 20 years): If biologically and technically feasible, increase the population on Walpole Island First Nation to at least 500 adult birds and restore it to historically occupied sites on Walpole Island First Nation. Long term (timeframe to be determined): If biologically and technically feasible, to achieve a self-sustaining, resilient, and redundant population, by establishing at least one viable population on Walpole Island First Nation and re-establish one viable population on the mainland.","Occasional sightings in recent years by local Indigenous Nations indicates one very small population in Walpole Island, Ontario likely exists. Local observation suggests a population decline, but insufficient data available to determine population trends. Restoration projects are in place to protect necessary habitats.",Insufficient data are available to estimate trends,Insufficient data to determine trends
Northern bottlenose whale (Scotian Shelf population),Hyperoodon ampullatus,Mammal,Endangered,5/17/2010,5/1/2011,6/9/2016,Achieve a stable or increasing population. Maintain or extend current distribution.,"This well-studied population contains an estimated 164 individuals, of which approximately 93 are mature. The population appears to be stable but it is very small and at risk from entanglement in fishing gear and possibly also from anthropogenic noise and from exposure to contaminants.",The population appears to be stable and there has been no decline in the area of occupancy.,Yes
Northern brook lamprey (Great Lakes - Upper St. Lawrence populations),Ichthyomyzon fossor,"Fish, freshwater",Special Concern,7/31/2018,11/1/2020,,"The long-term goal is to ensure the persistence of Northern Brook Lamprey throughout its current and historical ranges. Short-term objectives: (1) conserve and protect extant populations; refine understanding of population and habitat trends; identify, mitigate and monitor threats impacting the species' survival and conservation; (2) maintain, enhance and, where feasible, restore habitat to support the northern Brook Lamprey; (3) address knowledge gaps and broaden knowledge of the species' biology and ecology to enable and enhance management efforts; (4) improve the efficiency of conservation efforts through coordinated actions with other aquatic ecosystem recovery teams and other complementary conservation groups and/or initiatives; and (5) increase public awareness about the importance of biodiversity and healthy aquatic ecosystems, particularly amongst various partners, First Nations, interest groups, organization and landowners interested in supporting the conservation efforts for Northern Brook Lamprey.","Population estimates are not available and there is no information available on population trends. Its extent of occurrence is relatively stable, however the area occupied has decreased over time (in part due to differences in search effort).",There is insufficient information availabe to determine population trends.,Insufficient data to determine trends
Northern leopard frog (Rocky Mountain population),Lithobates pipiens,Amphibian,Endangered,12/22/2017,11/1/2021,,"1. To maintain and, where feasible, to increase the abundance of all populations of the Northern Leopard Frog in British Columbia, including any which may be identified or re-established in the future. 2. To maintain and, where feasible, to expand the distribution of the Northern Leopard Frog in British Columbia throughout the four historical Ecological Drainage Units, including re-establishment of at least two additional populations within its historical range.","In 2009, population of mature individuals in the Creston Valley Wildlife Management Area was estimated at approximately 50 and in the Upper Kootenay Floodplain less than 10. Between 2011 and 2015, there were an estimated 17-39 breeding females at the Creston Valley Wildlife Mangement Area and a very small subpopulation in the Upper Kootenay Floodplain. Between 2009 and 2021 in the Creston Valley Wildlife Management Area the number of egg masses detected fluctuated from a low of 7 to a high of 39, suggesting the population has fluctuated, but with no evident population trend.",Population trends are unknown,Insufficient data to determine trends
Northern madtom,Noturus stigmosus,"Fish, freshwater",Endangered,6/12/2012,5/1/2012,11/27/2023," Sustain and enhance the viability of existing populations of Northern Madtom in the Erie-Huron corridor, the Thames River (from Littlejohn Rd. upstream to vicinity of Tate Corners), and the Sydenham River if the species is still present in the system. ","There are 3, possibly 4, extant, reproducing populations in Canada. Ongoing and/or completed activities indicate that progress is being made toward the goal of recovering Northern Madtom populations in Canada.",Population trends were assessed in the 2024 RPA as follows: St. Clair River - fair; Lake St. Clair - poor; Sydenham River - likely extirpated; Thames River - poor; Detroit River - fair. The recent environmental DNA (eDNA) detections of Northern Madtom within the Sydenham and Grand rivers warrants follow-up sampling to confirm the species presence within these watersheds.,No
Northern riffleshell,Epioblasma torulosa rangiana,Mollusc,Endangered,7/30/2019,4/1/2010,2/2/2024,"Prevent the extirpation of Northern Riffleshell in Canada. Return healthy self-sustaining populations to the Ausable, Sydenham, and Thames rivers, and the St. Clair River delta.","Northern Riffleshell continues to be detected in the Sydenham and Ausable rivers, although the Ausable River detections were more limited in distribution. In Canada, its range once included western Lake Erie, Lake St.  Clair and the Detroit, East Sydenham, and Thames rivers in Ontario. It is now limited to a 91 km reach of the East Sydenham River and a 44 km reach of the Ausable River.",Populations of Northern riffleshell in both the Ausable and East Sydenham rivers show evidence of recruitment and it appears that the quality of the habitat in at least some reaches is suitable. ,No
"Northern saw-whet owl, brooksi subspecies",Petite Nyctale de la sous-espèce brooksi,Bird,Threatened,4/10/2014,11/1/2017,11/1/2017,Maintain approximately 1800 adults over the species' extent of occurrence.,The current population estimate is of 1756 mature individuals with a inferred decline of 1.3% over the next 15 years.,Population sizes and trends have not been measured directly but projected trends in habitat loss suggest a potential decline in population size.,No
Northern wolffish,Anarhichas denticulatus,"Fish, marine",Threatened,2/27/2020,11/1/2012,5/8/2024,Increase the population levels and distribution such that the long-term viability of this species is achieved.,"This species underwent strong declines in both abundance and in range size during the 1980s. For the next decade there was little change in status, but since about 2002 there have been small increases in both range size and abundance. Since the last DFO assessment in 2014, the population status remains relatively unchanged and has shown little recovery. ","Fall survey biomass index in Newfoundland and Labrador has increased. Based on the 2024 SAR, increases in abundance in NL (NAFO Divisions 2H and 2J3K) have occurred since the late-1990s, where the majority of the population resides. ",Yes
Northwestern pond turtle,Actinemys marmorata,Reptile,Extirpated,12/30/2015,5/1/2023,,The recovery is not considered to be biologically and technically feasible. There are no known individuals that can reproduce in BC and the possible translocation populations are at critically low numbers. ,This species has not been confirmed in the wild in Canada since 1961.,The recovery is not considered to be biologically and technically feasible in the next 5 years.,Not feasible
Nugget moss,Microbryum vlassovii,Moss,Endangered,9/21/2012,11/1/2016,11/1/2016,"Maintain the only known extant population of this species at its location in Canada. Maintain or improve current population size at this location, as well as any other extant populations that may be identified.",This species is known from only 3 localized sites in south-central British Columbia. One of the sites has likely been extirpated and one has not been seen since 1980.,One subpopulation persists but the number of mature individuals is uncertain.,Insufficient data to determine trends
"Nuttall's cottontail, nuttallii subspecies",Sylvilagus nuttallii nuttallii,Mammal,Special Concern,12/30/2015,11/1/2016,11/1/2016,"Maintain a stable or increasing population, distributed throughout the species' current range in British Columbia.",The species has a restricted range in the South Okanagan and Similkameen valleys. These habitats have been in decline since the mid-1800s and habitat loss is expected to continue. The number of mature individuals is unknown.,The number of mature individuals is unknown.,Insufficient data to determine trends
Olive-sided flycatcher,Contopus cooperi,Bird,Threatened,3/4/2016,4/1/2018,12/23/2022,Short term objective is to stop the national decline by 2025 and limit the decline to 10% during this time. Long term objective (after 2025) is to have a 10-year increasing population trend. The distribution objective is to maintain the current extent.,Estimates from different sources suggest that the population may be relatively stable or may be declining by as much as 19% over a 10-year period.,Boreal Avian Modelling Project does not provide evidence of  a decline in population between 1997 and 2013. Breeding Bird Survey estimates an annual decline of 2.1% from 2006 to 2016.,Mixed evidence
Olympia oyster,Ostrea lurida,Mollusc,Special Concern,7/30/2009,5/1/2011,9/8/2017,Maintain stable populations in British Columbia.,"Although the population suffered large-scale declines associated with overharvest between the late 1800s and 1930, it appears to have been stable in recent decades. There are no data on population trends, but populations appear to persist at low levels.","Although quantitative estimates on population sizes are not available, the Olympia Oyster appears to be stable in recent decades.",Yes
Ord's kangaroo rat,Dipodomys ordii,Mammal,Endangered,11/30/2012,4/1/2017,4/1/2017,Ensure that self-sustaining populations continue at currently occupied sand hill areas in southeastern Alberta and in southwestern Saskatchewan.,Annual population monitoring in Alberta has revealed a 72% decline in abundance between 2006 and 2015. This is assumed to be representative of the entire Canadian population.,Population size is declining.,No
Ottoe skipper,Hesperia ottoe,Insect,Endangered,4/15/2010,5/1/2015,5/1/2015,Determine if Ottoe skippers are still extant in Canada.,n/a,n/a,Operational goals
Pacific gophersnake,Pituophis catenifer catenifer,Reptile,Extirpated,12/22/2017,5/1/2023,,Recovery is not technically or biologically feasible.,Native individuals have not been confirmed in the wild in Canada since 1957.,Recovery is not technically or biologically feasible.,Not feasible
Pacific water shrew,Sorex bendirii,Mammal,Endangered,12/10/2014,4/1/2016,4/1/2016,Maintain the known extant populations and supporting habitat. Increase the number and distribution of populations within the species' natural range.,Too few individuals have been captured to allow population trends to be assessed. ,Population estimates are not available.,Insufficient data to determine trends
Paddlefish,Polyodon spathula,"Fish, freshwater",Extirpated,2/27/2008,5/1/2019,,Not feasible,n/a,n/a,Not feasible
Pale yellow dune moth,Copablepharon grandis,Insect,Special Concern,2/1/2016,11/1/2018,11/1/2018,Maintain persistence of Pale Yellow Dune Moth at confirmed localities.,Insufficient data to assess population sizes and trends. Historical sites have likely declined due to habitat loss from vegetation ingrowth and dune stabilization.,Habitat is in decline as sand dunes stabilize with vegetation,Insufficient data to determine trends
Paxton Lake benthic threespine stickleback,Gasterosteus aculeatus,"Fish, freshwater",Endangered,8/21/2019,12/1/2023,8/3/2022,Maintain self-sustaining populations of stickleback species pairs in Paxton Lake.,"A 2016 mark-recapture estimated the Paxton Benthic Stickleback population at 22,191. The benthic form is locally abundant, and not in apparent decline; the primary factor determining conservation status is their extreme endemism (existing in a single location), not population decline.","There has been no systematic monitoring of abundance for the Paxton Lake stickleback species pair, so population trends are unknown. High capture rates in other studies suggest abundance remains high.",Yes
Paxton Lake limnetic threespine stickleback,Gasterosteus aculeatus,"Fish, freshwater",Endangered,8/21/2019,12/1/2023,8/3/2022,Maintain self-sustaining populations of stickleback species pairs in Paxton Lake.,"A 2016 mark-recapture estimated the Paxton Limnetic Stickleback population is 368,885. The limnetic form is locally abundant, and not in apparent decline; the primary factor determining conservation status is their extreme endemism (existing in a single location), not population decline.","There has been no systematic monitoring of abundance for the Paxton Lake stickleback species pair, so population trends are unknown. High capture rates in other studies suggest abundance remains high.",Yes
Peregrine falcon (anatum/tundrius),Falco peregrinus anatum/tundrius,Bird,Not at risk,10/12/2017,11/1/2017,11/1/2017,Maintain a self-sustaining population of the Peregrine Falcon anatum/tundrius throughout its Canadian range for the next 10 years.,"Following dramatic declines in the mid-20th century, this species has rebounded significantly over the past few decades, with continued moderate to strong increases in many parts of Canada since the last status report in 2007.",Species has been identified to no longer be at risk.,Yes
Pink coreopsis,Coreopsis rosea,"Vascular plant, herb",Endangered,9/8/2010,11/1/2012,11/1/2012,Maintain extant populations at present levels of abundance or greater at current locations. Restore habitats to re-establish populations.,"The Canadian population is believed to have remained relatively stable within the past 10 to 15 years, with minor declines (less than 2.2%) due to shoreline development. The increased estimate of population sizes in 2012 is almost certainly due to more systematic and comprehensive surveys. Surveys repeated at particular sites over many years have not produced any anecdotal reports of major declines or increases.",The Canadian population is relatively stable; estimates have increased due to increased survey effort. ,Yes
Pink sand-verbena,Abronia umbellata,"Vascular plant, herb",Endangered,2/14/2007,5/1/2004,2/21/2024,Conserve Pink sand-verbena throughout its historical range of occurrence in Canada including an extant Clo-oose Bay population and at least two more populations (re)introduced by 2015 near/within the historic range. Protect all existing populations and manage each to ensure it doesn't fall below a minimum viable population size.,"Between 2008 and 2017, population recovery efforts at four coastal sand ecosystem restoration sites (including Clo-oose Bay) resulted in the annual population count exceeding 2000 individuals in both 2017 and 2018. In most years from 2011 to 2022, approximately 50% of wild plants exhibited some reproductive success, but declined to 18% in 2022. Overall population count has stabilized between 400-500 plants per year. It remains unknown whether current conditions and amount of habitat will support sustainable populations. It is currently not possible to conclude that any sub-populations that have been established should be considered viable over the long term.","Low and declining populations at most sites Clo-oose Bay, Schooner and Keeha suggest that viable populations have not been achieved.",No
Pink-footed shearwater,Puffinus creatopus,Bird,Endangered,5/2/2008,11/1/2016,11/1/2016,Support and augment international efforts to restore and increase populations.,n/a,n/a,Operational goals
"Piping plover, circumcinctus subspecies",Charadrius melodus circumcinctus,Bird,Endangered,10/25/2006,11/1/2013,11/1/2013,"Maintain a minimum of 1626 adult Piping Plovers (813 pairs) during each of 3 consecutive international censuses (i.e., over 11 years) in the Prairie Canada population. The Recovery Strategy was amended on 13 Aug 2007. No changes were made to the recovery goals established in 2006.",Counts from the most recent International Piping Plover Census in 2011 indicate an overall Canadian population of approximately 1033 adults of the interior subspecies. The count may be an underestimate because flooding in 2011 reduced available habitat and forced nesting pairs into areas not included in the census. However the consistent flooding since the last census suggests that reduction in population size is expected. Information on population trends for the interior subspecies shows a long-term (1991 to 2011) decline of 22.9% and a short-term decline of 12% over 2001 to 2011. ,Population is less than the short-term population goal and declining.,No
"Piping plover, melodus subspecies",Charadrius melodus melodus,Bird,Endangered,9/29/2022,11/1/2013,6/8/2022,Short term: Achieve and maintain a regional population of 255 pairs and an annual productivity of 1.65 chicks fledged per territorial pair. Long-term: Increase the population to 310 pairs distributed across eastern Canada.,The 2011 International Piping Plover Census estimated an overall Canadian population of approximately 406 adults. The annual surveys available for the eastern subspecies indicate a population of 389 adults in 2013. Information from annual surveys shows a significant decline of 23% between 2003 and 2013.,Population is less than the short-term population goal and declining.,No
Plymouth gentian,Sabatia kennedyana,"Vascular plant, herb",Endangered,9/8/2010,11/1/2012,11/1/2012,Maintain extant populations at present levels of abundance or greater at current locations. Restore habitats to re-establish populations.,"Available survey data are insufficient for direct assessment long-term trends, however, populations appear to have been relatively stable between 1984 and 2011. Available evidence suggests that the overall population trend for Canada over the past 15 years is likely a minor decline of less than 2%.","Relative stability is consistent with maintenance of populations, yet a minor decline may have occurred.",Mixed evidence
Poor pocket moss,Fissidens pauperculus,Moss,Endangered,4/15/2010,12/1/2022,,Protect and maintain the extant population.,"In 2000, only 1 subpopulation was found of 1.03m2. A total of 6 colonies were observed in the original location in 2009 and an additional small colony was found nearby. In 2021, the colonies are conservatively estimated to be 3-6 m2; the total population is unknown due to the small size of the plants and their patchy distribution.",No decline in the population can be observed.,Yes
Porsild's bryum,Haplodontium macrocarpum,Moss,Threatened,7/6/2016,11/1/2017,11/1/2017,"Maintain or increase the number of sub-populations and colonies. Where feasible, re-establish to known historic locations.","Currently, of 33 habitat patches, 79% have fewer than 50 individuals and 52% have fewer than 20 individuals, which is less than the minimum genetically effective population size of 50. In Alberta and Newfoundland, provinces that contain the majority of all known subpopulations, trends show a loss of approximately 17 colonies.","Where trends data is available (Alberta and Newfoundland), there was an overall decline of 28% in the number of colonies over the last three generations.",No
Poweshiek skipperling,Oarisma poweshiek,Insect,Endangered,9/27/2012,11/1/2014,11/1/2014,"Ensure a self-sustaining population within and surrounding the Tall Grass Prairie Preserve, distributed within an area similar to that found in surveys.",Population size estimates are unavailable but a decline is suspected. The area of occupancy has changed little since 2002.,"Population decline is uncertain, area of occupancy is stable.",Mixed evidence
Prairie lupine,Lupinus lepidus,"Vascular plant, herb",Endangered,8/11/2006,4/1/2009,4/1/2009,Manage and enhance the single extant population. Establish additional populations. One additional population (2 sub-populations) has been confirmed since recovery goals were set. ,The species was known historically from 9 populations but only 2 populations are confirmed as extant. Consistent sampling has not been done for a long enough period to determine trends in population size and density. There is no evidence overall decline from 1999 to 2009. The new subpopulations found recently were likely always present. One population may now persist in the seed bank.,"No evidence of total population decline has been observed, and 1 additional population was discovered. ",Yes
Prothonotary warbler,Protonotaria citrea,Bird,Endangered,3/1/2011,11/1/2016,11/1/2016,"Recover the Canadian population to at least 40 breeding pairs spread among at least 6 distinct nesting areas. By 2015, increase the current population to at least 15 pairs, spread among at least 5 nesting areas.","Numbers have remained stable or declined slightly from an estimated 28–34 mature individuals in 2005 to 28 in 2015. In Canada, breeding habitat is continuing to deteriorate due to invasive species.","While the rate of decline has slowed, the 2015 population objective was not met.",No
Puget Oregonian snail,Cryptomastix devia,Mollusc,Extirpated,6/23/2010,5/1/2013,5/1/2013,Confirm the presence/absence of Puget Oregonian Snail within the species' historic range. Protect any extant population(s) if found.,No change. Extensive searches within the historical range have failed to find the species.,No new sightings of this species in Canada have been recorded.,Operational goals
Pugnose minnow,Opsopoeodus emiliae,"Fish, freshwater",Threatened,10/19/2009,5/1/2012,4/26/2022,"Maintain, or enhance, existing populations, and improve the quality and quantity of associated habitat by 2029.",It is difficult to establish viable estimates of population size and distribution in the absence of detailed abundance records.,Further monitoring and assessment should be conducted to refine the extent of the distributions for these species and determine their abundance.,Insufficient data to determine trends
Pugnose shiner,Notropis anogenus,"Fish, freshwater",Threatened,1/25/2013,5/1/2013,4/21/2022,Maintain self-sustaining populations at existing locations.  Restore self-sustaining populations to historic locations where feasible.,"Survey and monitoring projects, including both targeted and multi-species sampling, have been conducted throughout much of the species’ known distribution, as well as novel areas where the Pugnose Shiner was suspected to occur, leading to its detection at several new locations. There remains knowledge gaps and there are a number of locations where further targeted sampling should be conducted, including: the majority of locations where the species is extant; historical locations; new locations where the species has recently been detected; and, suspected locations.",Population trends are not available. The discovery of the species within a number of new locations also suggests that the population and distribution objectives for this species should be revaluated to reflect new information that has been acquired. ,Insufficient data to determine trends
Pygmy pocket moss,Fissidens exilis,Moss,Not at risk,6/17/2016,12/20/2016,,To maintain the presence of all known extant occurrences located in natural habitat in Canada during the five years following the final publication of this management plan on the Species at Risk Public Registry.,No declines or direct imminent threats are known for this species.,No evidence suggest that the species is currently at risk in Canada.,Yes
Pygmy short-horned lizard,Phrynosoma douglasii,Reptile,Extirpated,12/22/2017,11/1/2018,11/1/2018,"The recovery of the pygmy short-horned lizard in Canada is not considered technically and biologically feasible. This may be revisited if relict populations are discovered, and/or if translocation and reintroduction becomes feasible and appropriate.",Confirmed occurrences include 2 specimens. Last reliable sighting in 1957.,n/a,Not feasible
Pygmy snaketail,Ophiogomphus howei,Insect,Special Concern,4/18/2013,11/1/2018,11/1/2018,Maintain presence of existing populations at all sites where they are currently known to occur and conserve new occurrences that are identified.,Insufficient data to determine population sizes,There is insufficient data available to determine population trends.,Insufficient data to determine trends
Rainbow smelt (Lake Utopia small-bodied population),Osmerus mordax ,"Fish, freshwater",Threatened,10/26/2016,11/1/2018,,Maintain the current population distribution and abundance of the small-bodied and large-bodied populations of Lake Utopia Rainbow Smelt and the genetic diversity of the Lake Utopia Rainbow Smelt sympatric species pair.,"Based on samples conducted from 1998 to present, the population abundance of the Lake Utopia sympatric pair appears fairly consistent from year to year. ","The high abundance of Small Smelt spawners and their apparent restriction to only a few of the available tributaries may indicate that the lake itself is at maximum carrying capacity, at least for the Small Smelt (Curry et al. 2004). ",Yes
Rayed bean,Villosa fabalis,Mollusc,Endangered,7/30/2019,4/1/2010,2/2/2024,Prevent the extirpation of Rayed Bean in Canada. Return/maintain healthy self-sustaining populations to the Sydenham and Thames rivers.,"In Canada, the rayed bean occurs only in Ontario where its range once included the Detroit, Sydenham and Thames rivers and western Lake Erie. The current distribution is restricted to the Sydenham River and a short reach of the North Thames River. A lack of historical records prevents an estimate of population change. However, there appears to be a much larger population in the Sydenham River than documented prior to 2000; the numbers found recently could not have been overlooked in historical studies.",Rayed Bean is generally recognised to have significantly declined throughout its range in recent years. ,No
"Red crossbill, percna subspecies",Loxia curvirostra percna,Bird,Threatened,10/25/2006,4/1/2016,,Prevent extirpation of the percna subspecies from the island of Newfoundland. Support a self-sustaining population.,Populations still remain in Newfoundland but are declining and habitat loss is expected.,Populations are declining.,No
"Red knot, islandica subspecies",Calidris canutus islandica,Bird,Special Concern,11/24/2017,11/1/2020,,Short-term population objective: Halt the national decline before 2025. Long term population objective: to maintain the population at current levels. Distribution objective: to maintain the current extent of occurrence in Canada for breeding.,"Estimated 128,000 individuals in Canada with a stable or slightly fluctuating trend over the last three generations. There are insufficient data to determine if there is a decline in the extent of occurrence as different data sources and methods were used in the previous assessment.",There is no observed population decline; population appears stable.,Yes
"Red knot, rufa subspecies",Calidris canutus rufa,Bird,Endangered,11/24/2017,11/1/2020,,"Short term population objective: halt national decline before 2025. Long term population objective: to increase and maintain the population at or above 100,000-150,000 individuals. Distribution objectives: to maintain the current extent of occurrence in Canada for breeding; and to conserve any Canadian stopover sites identified with greater than, or equal to, 1% of the current population (420 individuals).","Over 50,000 birds in 1982 and 2000 that declined to <10,000 in 2011 and 2018. It is estimated to be about 7,500 mature individuals (73% decline since 1999). Population continues to decline based on past winter surveys. Different data sources and methods were used in the previous assessment and therefore trends for extent of occupancy cannot be determined.",There is a continued population decline.,No
Red mulberry,Morus rubra,"Vascular plant, tree",Endangered,2/28/2011,11/1/2014,11/1/2014,Maintain all currently existing populations of the species across its Canadian (Ontario) range and prevent further decline in the number of individuals.,The total known Canadian population is 217 individuals. The number of mature individuals has declined 6.3% since 2000 despite ongoing discovery of new trees at some sites. Three of 19 subpopulations appear to have been extirpated since 2000.,Population size and distribution are declining.,No
Rigid apple moss,Bartramia stricta,Moss,Endangered,6/30/2011,12/1/2023,,"The population and distribution goal is to maintain the extant populations of the rigid apple moss at current or greater population sizes throughout the current range of the species. The objectives are to maintain or increase the total Canadian population from 2010 levels (assuming a natural range of annual variability), and maintain all populations extant in 2010.","In Canada, there are a total of 1136 individuals observed at 11 extant subpopulations in British Columbia. In addition, 1 subpopulation was first observed in 2023 and has yet to be confirmed. One (1) subpopulation is presumed to be extirpated due to presence of invasive vegetation. This species is restricted to Garry Oak ecosystems.","Population trends are unknown due to lack of long-term monitoring and inconsistencies in survey methodology. The increase in the known range is a result of an increase in search effort and subsequent discovery of pre-existing subpopulations, not a true increase in population size. Historical decline is inferred from a decline in Garry Oak ecosystems.",Insufficient data to determine trends
Riverine clubtail (Great Lakes Plains population),Stylurus amnicola,Insect,Endangered,10/21/2021,5/1/2023,,"To maintain the two existing local populations and the current distribution of the species in Canada, as well as any newly discovered local populations. ",Estimating total population size is difficult as no reliable estimates have been completed.,"Trends in Canadian population size are unknown due to a lack of repeated, quantitative surveys.",Insufficient data to determine trends
Rocky Mountain ridged mussel,Gonidea angulata,Mollusc,Special Concern,7/15/2011,11/1/2010,5/11/2023,"Management Goal: Maintain viable, self-sustaining, ecologically functioning and broadly distributed populations within suitable habitats in its current distribution/range in B.C. Objectives: 1) By 2015, address knowledge gaps about the life history, provincial range and threats to the Rocky Mountain Ridged Mussel; 2) By 2015, inventory 75% of potential littoral habitat within the Okanagan River watershed, with standardized protocol for habitat and threat information collected at each site searched; 3) By 2015, demonstrate an increased number of stewardship activities initiated and completed for land managers and public users of habitat occupied by the Rocky Mountain Ridged Mussel; 4) As research and inventory results on the Rocky Mountain Ridged Mussel become available, incorporate into land-use planning to include future threat mitigation and land-use protection.","Population information on the Rocky Mountain Ridged Mussel is limited and densities likely vary depending on habitat suitability and quality, with lower quality habitat supporting lower mussel densities.","Further efforts will be necessary to meet the management goal of maintaining viable, self-sustaining, ecologically-functioning and broadly-distributed populations of Rocky Mountain Ridged Mussel in British Columbia.",Insufficient data to determine trends
Rocky Mountain sculpin (Eastslope populations),Cottus sp.,"Fish, freshwater",Threatened,11/13/2012,11/1/2019,4/5/2024,Protect and maintain self-sustaining populations of the Rocky Mountain Sculpin within its current range in the St. Mary and Milk river watersheds in Canada.,Assumed maintenance of populations in Alberta.,"No evidence to suggest population decline in Milk River and St. Mary basins in AB; this suggests maintenance of populations (from PR); however, siphon failures and subsequent reduction in water levels in 2020 and 2024 may have implications on population levels; the latest 2024 failure is still emerging.",Yes
Rocky Mountain sculpin (Missouri River populations),Cottus sp. ,"Fish, freshwater",Threatened,11/13/2012,11/1/2019,,"Recovery goal: To protect and maintain self-sustaining populations of the Rockey Mountain Sculpin within its current range in the St. Mary and Milk river watersheds in Canada. Recovery objectives: 1. Quantify and maintain current population levels of Rocky Mountain Sculpin in the St. Mary and Milk river watersheds, as determined from standardized surveys. 2. Increase knowledge of the taxonomy, life history, basic biology, and habitat requirements of the Rocky Mountain Sculpin and 3. Increase our understanding of how human activities affect Rocky Mountain Sculpin survival, so that potential threats to the species can be avoided, eliminated, or mitigated.",Rocky Mountain Sculpin appear to be locally abundant where present. No changes have been observed in its distribution in the St. Mary River and is currently found only above the St. Mary Reservoir.,There are no specific population estimates ,Insufficient data to determine trends
Rocky Mountain sculpin (Saskatchewan – Nelson River populations),Cottus sp.,"Fish, freshwater",Threatened,11/13/2012,11/1/2019,,"Recovery goal: To protect and maintain self-sustaining populations of the Rockey Mountain Sculpin within its current range in the St. Mary and Milk river watersheds in Canada. Recovery objectives: 1. Quantify and maintain current population levels of Rocky Mountain Sculpin in the St. Mary and Milk river watersheds, as determined from standardized surveys. 2. Increase knowledge of the taxonomy, life history, basic biology, and habitat requirements of the Rocky Mountain Sculpin and 3. Increase our understanding of how human activities affect Rocky Mountain Sculpin survival, so that potential threats to the species can be avoided, eliminated, or mitigated.",Rocky Mountain Sculpin appear to be locally abundant where present. No changes have been observed in its distribution in the St. Mary River and is currently found only above the St. Mary Reservoir.,There are no specific population estimates ,Insufficient data to determine trends
Roseate tern,Sterna dougallii,Bird,Endangered,10/25/2006,5/1/2023,,"By 2015, have no fewer than 150 pairs of Roseate Terns nesting in at least 3 colonies in Canada. Enhance productivity at managed colonies. Restore a broader distribution by establishing at least 1 more managed colony.",Canadian breeding population is about 106-146 mature individuals. The number of adult birds breeding and the range have declined by about 64% over 3 generations (1995-2019).,Population of 106-146 individuals below population goal with an observed decline in the number of breeding adults at known colonies. ,No
Ross's gull,Rhodostethia rosea,Bird,Threatened,11/20/2007,4/1/2021,,(1) Maintain known current distribution and number of pairs of Ross's Gulls breeding in Canada over a five-year average; (2) encourage further research and surveys that may reveal previously unknown nesting concentrations in the Canadian Arctic; (3) protect breeding habitat through stewardship and conservation agreements and undertake studies to identify critical habitat; and (4) determine the significance of threats at breeding locations and implement management strategies to reduce threats.,"There is insufficient data to determine trends in abundance of Ross's Gull in Canada. Low reproductive success suggest that Canadian populations may now or soon be in decline. From 2005 to 2018 only 4 of 23 confirmed nesting attempts at Nasaruvaalik Island produced any chicks, and no chicks were known to survive to fledging. They are no longer known to breed near Churchill since 2006. ",No Ross's Gull were observed at the previous breeding sight near Churchill and there is low breeding success at the site on Nasaruvaalik Island.,No
Rougheye rockfish type I,Sebastes sp. type I,"Fish, marine",Special Concern,4/30/2012,4/1/2007,4/13/2023,Maintain sustainable populations within each species’ known range in Canadian Pacific waters.,"The 2020 Rougheye/Blackspotted Rockfish assessment showed that populations in both the North (predominantly Blackspotted) and South (predominantly Rougheye) are in decline, but are projected to stabilize at sustainable levels under the current management regime. Furthermore, both populations are estimated to be in the “healthy zone” (above provisional upper stock reference point) under the Precautionary Approach (PA) Framework.","While progress has been made towards meeting the goal and objectives of the management plan, more work needs to be undertaken to better understand stock structure, and to complete regular stock assessments for Longspine Thornyhead and Rougheye Rockfish",Yes
Rougheye rockfish type II,Sebastes sp. type II,"Fish, marine",Special Concern,4/30/2012,4/1/2007,4/13/2023,Maintain sustainable populations within each species’ known range in Canadian Pacific waters.,"The 2020 Rougheye/Blackspotted Rockfish assessment showed that populations in both the North (predominantly Blackspotted) and South (predominantly Rougheye) are in decline, but are projected to stabilize at sustainable levels under the current management regime. Furthermore, both populations are estimated to be in the “healthy zone” (above provisional upper stock reference point) under the Precautionary Approach (PA) Framework.","While progress has been made towards meeting the goal and objectives of the management plan, more work needs to be undertaken to better understand stock structure, and to complete regular stock assessments for Longspine Thornyhead and Rougheye Rockfish.",Yes
